sucre,2
céréale,2
biscotte,3
miel,2
chocolat,2
huile,1
vinaigre,1
mayonnaise,2
moutarde,2
farine,2
pommes de terre,2
pâtes,2
riz,2
soupe,1
lentilles,2
poisson,3
lait,1
semoule,2
beurre,2
œuf,3
fromage,2
jambon,3
rillettes,2
saucisse,3
steack haché,3
glace,2
pain,3
eau,1
pastis,1
bière,1
pomme,3
banane,3
orange,3
clémentine,3
pêche,3
poire,3
raisin,3
pamplemousse,3
kiwi,3
fraise,3
tomate,3
carotte,3
melon,3
endive,3
salade,3
courgette,3
oignon,3
concombre,3
poireau,3
choux-fleur,3
